threshold,macro_f1,fatal_precision,fatal_recall,fatal_f1,predicted_fatal_proportion
0.635,0.32994980514424294,0.07142857142857142,0.00019291363899427689,0.00038478804591804015,3.490691489361702e-05
0.64,0.32990692227039453,0.04878048780487805,0.00012860909266285126,0.0002565418163160595,3.407579787234042e-05
0.645,0.32986389724960596,0.02564102564102564,6.430454633142563e-05,0.0001282873636946761,3.241356382978723e-05
0.65,0.32986363447693473,0.02702702702702703,6.430454633142563e-05,0.00012830382345393893,3.0751329787234045e-05
0.655,0.32986513468590356,0.030303030303030304,6.430454633142563e-05,0.00012833675564681725,2.742686170212766e-05
0.66,0.32986474053247844,0.03333333333333333,6.430454633142563e-05,0.00012836146588794044,2.493351063829787e-05
0.665,0.32986522259042345,0.038461538461538464,6.430454633142563e-05,0.0001283944276818386,2.160904255319149e-05
0.67,0.3298659726877499,0.041666666666666664,6.430454633142563e-05,0.00012841091492776885,1.9946808510638297e-05
0.675,0.32986570992475356,0.045454545454545456,6.430454633142563e-05,0.00012842740640852757,1.8284574468085108e-05
0.68,0.32986544716479965,0.05,6.430454633142563e-05,0.00012844390212574659,1.6622340425531915e-05
0.685,0.3298653157859637,0.05263157894736842,6.430454633142563e-05,0.00012845215157353886,1.579122340425532e-05
0.6900000000000001,0.3298653157859637,0.05263157894736842,6.430454633142563e-05,0.00012845215157353886,1.579122340425532e-05
0.6950000000000001,0.3298661773429404,0.06666666666666667,6.430454633142563e-05,0.00012848515996402416,1.2466755319148936e-05
0.7000000000000001,0.3298661773429404,0.06666666666666667,6.430454633142563e-05,0.00012848515996402416,1.2466755319148936e-05
0.705,0.32986705881353184,0.07142857142857142,6.430454633142563e-05,0.00012849341471249598,1.1635638297872341e-05
0.71,0.32986717555414086,0.08333333333333333,6.430454633142563e-05,0.00012850992739189102,9.973404255319148e-06
0.715,0.32986717555414086,0.08333333333333333,6.430454633142563e-05,0.00012850992739189102,9.973404255319148e-06
0.72,0.32986704417709295,0.09090909090909091,6.430454633142563e-05,0.00012851818532322323,9.142287234042554e-06
0.725,0.32986792564416667,0.1,6.430454633142563e-05,0.000128526444315918,8.311170212765958e-06
0.73,0.32986892385134087,0.14285714285714285,6.430454633142563e-05,0.0001285512276642242,5.8178191489361705e-06
0.735,0.32986892385134087,0.14285714285714285,6.430454633142563e-05,0.0001285512276642242,5.8178191489361705e-06
0.74,0.32986892385134087,0.14285714285714285,6.430454633142563e-05,0.0001285512276642242,5.8178191489361705e-06
0.745,0.32982593931098053,0.0,0.0,0.0,4.986702127659574e-06
0.75,0.3298265497541366,0.0,0.0,0.0,2.493351063829787e-06
0.755,0.3298265497541366,0.0,0.0,0.0,2.493351063829787e-06
0.76,0.32982742845567803,0.0,0.0,0.0,1.6622340425531915e-06
0.765,0.32982742845567803,0.0,0.0,0.0,1.6622340425531915e-06
0.77,0.32982742845567803,0.0,0.0,0.0,1.6622340425531915e-06
0.775,0.32982742845567803,0.0,0.0,0.0,1.6622340425531915e-06
0.78,0.32982742845567803,0.0,0.0,0.0,1.6622340425531915e-06
0.785,0.3298276738215932,0.0,0.0,0.0,8.311170212765957e-07
0.79,0.3298276738215932,0.0,0.0,0.0,8.311170212765957e-07
0.795,0.3298276738215932,0.0,0.0,0.0,8.311170212765957e-07
0.8,0.3298276738215932,0.0,0.0,0.0,8.311170212765957e-07
0.805,0.3298276738215932,0.0,0.0,0.0,8.311170212765957e-07
0.81,0.3298276738215932,0.0,0.0,0.0,8.311170212765957e-07
0.8150000000000001,0.3298276738215932,0.0,0.0,0.0,8.311170212765957e-07
0.8200000000000001,0.3298285525204647,0.0,0.0,0.0,0.0
